CCG or Health Board;;Abtard;Ebesque XL;Fencino;Venlalic XL;Zomorph;Grand Total
EASTERN CHESHIRE CCG;;11 662,89;6 016,50;12 063,47;19 082,43;6 603,74;55 429,03
ENFIELD CCG;;37 150,92;21 475,45;16 818,93;20 383,42;3 705,75;99 534,47
EREWASH CCG;;14 471,53;20 317,71;9 302,65;3 298,88;2 521,22;49 911,99
FAREHAM AND GOSPORT CCG;;35 031,45;28 815,49;30 733,76;21 461,41;9 473,11;125 515,22
FYLDE & WYRE CCG;;66 067,07;16 946,62;31 121,57;24 316,11;19 798,78;158 250,15
GLOUCESTERSHIRE CCG;;67 915,19;45 366,01;92 851,24;71 941,05;21 987,71;300 061,20
GREAT YARMOUTH & WAVENEY CCG;;42 203,22;41 712,75;32 697,13;16 360,48;18 158,46;151 132,04
GREATER HUDDERSFIELD CCG;;63 587,54;33 083,19;38 068,24;26 388,82;8 726,99;169 854,78
GREATER PRESTON CCG;;104 733,51;28 957,20;46 532,33;30 728,96;17 862,92;228 814,92
GREENWICH CCG;;62 012,92;130 285,34;41 726,13;15 189,19;4 759,73;253 973,31
GUILDFORD AND WAVERLEY CCG;;48 648,36;52 629,32;37 028,43;33 490,00;6 099,14;177 895,25
HALTON CCG;;83 311,98;10 368,29;17 387,45;18 966,61;9 627,43;139 661,76
HAMBLETON, RICHMONDSHIRE AND WHITBY CCG;;31 179,25;15 283,61;26 049,02;14 888,22;8 612,81;96 012,91
HAMMERSMITH AND FULHAM CCG;;23 218,90;23 051,37;14 452,64;15 407,80;3 056,93;79 187,64
HARDWICK CCG;;43 013,86;8 636,33;21 594,03;7 237,06;3 989,00;84 470,28
HARINGEY CCG;;42 737,61;39 222,91;37 742,41;15 988,88;6 013,01;141 704,82
HARROGATE AND RURAL DISTRICT CCG;;19 199,51;6 924,99;27 197,00;10 626,70;5 135,09;69 083,29
HARROW CCG;;27 918,37;101 826,99;20 969,32;8 374,85;6 751,03;165 840,56
HARTLEPOOL AND STOCKTON-ON-TEES CCG;;168 951,38;61 007,23;151 582,03;21 107,14;102 071,77;504 719,55
HASTINGS & ROTHER CCG;;60 526,30;72 770,81;43 299,19;34 595,09;16 481,48;227 672,87
HAVERING CCG;;52 657,00;33 640,80;55 293,71;26 574,41;21 876,55;190 042,47
HEREFORDSHIRE CCG;;34 876,80;32 003,37;12 598,64;32 322,92;4 864,07;116 665,80
HERTS VALLEYS CCG;;20 096,63;35 451,91;18 298,96;23 537,84;44 079,85;141 465,19
HEYWOOD, MIDDLETON & ROCHDALE CCG;;132 538,52;52 629,93;55 132,57;57 533,36;27 339,60;325 173,98
HIGH WEALD LEWES HAVENS CCG;;13 676,55;22 974,26;12 453,67;23 384,93;6 090,85;78 580,26
HILLINGDON CCG;;85 863,04;54 764,95;46 837,60;14 387,25;5 102,61;206 955,45
HORSHAM AND MID SUSSEX CCG;;70 116,32;52 184,23;47 149,47;18 532,59;14 997,16;202 979,77
HOUNSLOW CCG;;17 253,27;31 840,91;19 238,38;12 214,27;4 664,30;85 211,13
HULL CCG;;93 823,68;75 767,62;51 682,15;28 128,59;18 952,49;268 354,53
HYWEL DDA;;111 660,70;138 495,10;66 424,85;62 768,86;102 828,45;482 177,96
IPSWICH AND EAST SUFFOLK CCG;;81 191,35;57 337,14;38 931,68;42 714,79;65 913,37;286 088,33
ISLE OF WIGHT CCG;;25 381,82;23 097,24;23 527,57;21 195,98;5 993,48;99 196,09
ISLINGTON CCG;;17 973,81;33 291,42;40 402,07;9 300,70;9 068,95;110 036,95
KERNOW CCG;;176 008,38;116 738,99;117 020,74;166 440,00;56 015,58;632 223,69
KINGSTON CCG;;18 833,96;16 416,76;16 533,11;12 633,43;4 779,65;69 196,91
KNOWSLEY CCG;;42 327,02;34 355,97;16 531,94;18 175,79;12 740,84;124 131,56
LAMBETH CCG;;29 915,59;24 130,49;12 367,89;19 370,82;9 270,19;95 054,98
LANCASHIRE NORTH CCG;;25 099,91;18 904,17;32 037,18;32 203,89;7 790,53;116 035,68
LEEDS NORTH CCG;;60 210,66;47 724,81;48 687,86;34 038,95;16 166,33;206 828,61
LEEDS SOUTH AND EAST CCG;;84 813,14;67 621,93;45 792,08;23 517,86;15 569,63;237 314,64
LEEDS WEST CCG;;106 344,80;78 694,74;67 036,14;39 400,26;29 580,16;321 056,10
LEICESTER CITY CCG;;27 186,72;22 497,80;26 044,29;18 869,40;2 338,27;96 936,48
LEWISHAM CCG;;45 714,79;108 349,94;36 183,00;25 375,99;8 221,09;223 844,81
LINCOLNSHIRE EAST CCG;;50 811,90;68 684,88;71 954,21;30 253,82;17 079,99;238 784,80
LINCOLNSHIRE WEST CCG;;107 547,42;109 521,98;49 907,58;47 695,91;19 610,40;334 283,29
LIVERPOOL CCG;;183 128,02;74 413,27;37 439,31;46 099,52;24 791,53;365 871,65
LUTON CCG;;34 051,66;43 848,47;18 663,07;9 443,22;12 970,50;118 976,92
MANSFIELD & ASHFIELD CCG;;38 176,00;17 813,28;33 926,15;16 307,85;12 774,33;118 997,61
MEDWAY CCG;;120 710,53;101 497,45;43 668,91;39 247,74;6 682,36;311 806,99
MERTON CCG;;32 078,08;58 533,46;21 287,95;16 346,97;2 942,22;131 188,68
MID ESSEX CCG;;44 292,41;47 180,60;44 544,75;22 051,32;27 321,86;185 390,94
MILTON KEYNES CCG;;47 084,27;31 170,56;45 255,34;9 589,64;10 254,40;143 354,21
NENE CCG;;25 446,05;17 725,44;25 351,53;34 199,13;9 022,47;111 744,62
NEWARK & SHERWOOD CCG;;14 460,84;6 864,33;17 703,21;13 307,07;3 634,99;55 970,44
NEWBURY AND DISTRICT CCG;;4 854,49;6 183,56;6 555,70;16 910,67;3 143,64;37 648,06
NEWCASTLE GATESHEAD CCG;;282 540,35;111 673,58;77 733,52;43 455,40;34 397,05;549 799,90
NEWHAM CCG;;45 706,91;52 781,37;28 188,56;11 943,36;7 526,40;146 146,60
NORTH & WEST READING CCG;;5 253,76;8 364,42;2 643,42;8 371,86;2 753,86;27 387,32
NORTH DERBYSHIRE CCG;;129 444,02;32 337,34;55 275,43;27 782,39;7 222,70;252 061,88
NORTH DURHAM CCG;;115 711,38;100 081,13;56 770,78;29 647,24;13 632,79;315 843,32
NORTH EAST ESSEX CCG;;88 053,29;55 516,57;61 634,00;67 776,34;38 497,59;311 477,79
NORTH EAST HAMPSHIRE AND FARNHAM CCG;;53 585,95;51 869,16;50 895,23;27 274,79;14 780,85;198 405,98
NORTH EAST LINCOLNSHIRE CCG;;29 652,73;38 632,71;28 361,03;22 548,93;9 347,73;128 543,13
NORTH HAMPSHIRE CCG;;43 298,93;34 501,88;44 185,07;27 378,98;3 695,67;153 060,53
NORTH KIRKLEES CCG;;55 686,29;39 217,36;41 188,75;21 231,64;13 013,84;170 337,88
NORTH LINCOLNSHIRE CCG;;72 684,74;35 294,98;87 118,26;41 931,98;22 415,16;259 445,12
NORTH MANCHESTER CCG;;103 515,29;98 062,14;56 168,37;48 211,36;5 763,52;311 720,68
